Date,Site,Sampling Period,Year,Quadrats,SppBloomQ,BareGround,TotalAbundance,Total Genus Richness,Total Species Richness,Agapostemon sericeus,Agapostemon splendens,Agapostemon texanus,Agapostemon virescens,Andrena aliciae,Andrena alleghaniensis,Andrena asteris,Andrena barbara,Andrena commoda,Andrena crataegi,Andrena cressonii cressonii,Andrena fragilis,Andrena frigida,Andrena geranii,Andrena hirticincta,Andrena imitatrix,Andrena integra,Andrena melanochroa,Andrena nivalis,Andrena nuda,Andrena platyparia,Andrena polemonii,Andrena robertsonii,Andrena rudbeckiae,Andrena simplex,Andrena spiraeana,Andrena spp.,Andrena spp. canadensis/distans,Andrena wilkella,Andrena wilmattae,Andrena w-scripta,Andrena ziziae,Anthophora bomboides,Anthophora terminalis,Anthophora walshii,Apis mellifera,Ashmeadiella bucconis,Augochlora pura,Augochlorella spp.,Augochloropsis fulgida,Augochloropsis metallica,Bombus auricomus,Bombus bimaculatus,Bombus borealis,Bombus citrinus,Bombus fervidus,Bombus fraternus,Bombus griseocollis,Bombus impatiens,Bombus pensylvanicus,Bombus spp.,Bombus vagans,Calliopsis andreniformis,Calliopsis coloradensis,Ceratina calcarata,Ceratina dupla,Ceratina mikmaqi,Ceratina spp.,Ceratina strenua,Coelioxys octodentata,Coelioxys rufitarsis,Coelioxys sayi,Colletes spp.,Dufourea novaeangliae,Eucera atriventris,Eucera hamata,Florilegus condignus,Halictus confusus,Halictus ligatus,Halictus parallelus,Halictus rubicundus,Heriades carinatus,Hoplitis pilosifrons,Hylaeus affinis,Hylaeus lectocephalus,Hylaeus mesillae,Hylaeus nelumbonis,Hylaeus spp.,Lasioglossum Dialictus spp.,Lasioglossum Dialictus spp. orange abdomen,Lasioglossum Evylaeus fedorense,Lasioglossum Evylaeus nelumbonis,Lasioglossum Evylaeus pectorale,Lasioglossum Evylaeus spp.,Lasioglossum Evylaeus truncatum,Lasioglossum s.s. acuminatum,Lasioglossum s.s. athabascense,Lasioglossum s.s. coriaceum,Lasioglossum s.s. fuscipenne,Lasioglossum s.s. leucozonium,Lasioglossum s.s. paraforbesii,Lasioglossum s.s. spp.,Lasioglossum s.s. zonulum,Lasioglossum spp.,Megachile brevis,Megachile campanulae,Megachile frigida,Megachile inermis,Megahcile latimanus,Megachile mendica,Megachile montivaga,Megachile petulans,Megachile pugnata,Melissodes agilis,Melissodes apicata,Melissodes bimaculata,Melissodes communis,Melissodes comptoides,Melissodes coreopsis,Melissodes denticulata,Melissodes desponsa,Melissodes druriella,Melissodes nivea,Melissodes spp.,Melissodes subillata,Melissodes trinodis,Melissodes vernoniae,Melissodes wheeleri,Nomada articulata,Nomada australis,Nomada denticulata,Nomada depressa,Nomada illinoensis,Nomada imbricata,Nomada integerrima,Nomada parva,Nomada spp.,Nomada spp. 2,Nomada superba,Nomia spp.,Nomia universitatis,Osmia bucephala,Osmia collinsiae,Osmia inermis,Osmia michiganensis,Osmia pumila,Osmia spp.,Peponapis pruinosa,Perdita spp.,Pseudopanurgus albitarsis,Spechodes spp.,Stelis spp.,Svastra obliqua,Triepeolus concavus,Tripeolus donatus,Triepeolus helianthi,Triepeolus lunatus,Triepeolus nigrihirtus,Triepeolus simplex,Triepeolus spp.,Xylocopa virginica
5/19/2016,Kaldenberg,2,3,0,0,4.2,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2016,McClellan,2,3,0,0,3.3,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2016,Sloan,2,3,2.7,2,2.1,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2016,Sheller,2,3,1.2,1,3.3,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2016,Cretsinger,2,3,0.6,1,19.1,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2016,Peckumn,2,3,13.9,2,5.5,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/15/2016,Plunkett,3,3,34.6,8,0.3,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/15/2016,Bowman,3,3,1.3,1,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/16/2016,Kaldenberg,3,3,3.5,4,4.8,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/16/2016,McClellan,3,3,0,0,2.1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2016,Sloan,3,3,3.1,3,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/2016,Sheller,3,3,1.9,3,2.3,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/2016,Cretsinger,3,3,27.3,9,10.8,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/2016,Peckumn,3,3,17.9,7,6.9,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/20/2016,Plunkett,4,3,53.3,10,3.8,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/20/2016,Bowman,4,3,0.3,1,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/21/2016,Kaldenberg,4,3,14.9,6,5.6,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/2016,McClellan,4,3,1,1,1.4,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/25/2016,Sloan,4,3,5.3,6,3.5,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/26/2016,Sheller,4,3,7.3,3,1.6,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/27/2016,Peckumn,4,3,35.2,13,8,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/2016,Cretsinger,4,3,33.5,7,9.3,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2016,Plunkett,5,3,64.8,9,2.3,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/2016,Bowman,5,3,0.5,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/2016,Kaldenberg,5,3,18.3,6,4,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/16/2016,McClellan,5,3,1,1,1.6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/17/2016,Sloan,5,3,10.4,8,3.8,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/2016,Sheller,5,3,9,4,2.4,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/2016,Cretsinger,5,3,56.9,11,6.3,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/31/2016,Peckumn,5,3,28.1,4,2.1,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
