"","Site","Year","Bumble bee","Cavity nester","Cleptoparasite","Honey bee","Social ground-nester","Social parasite","Solitary ground-nester"
"1","Bowman",2014,2,0,0,1,3,0,10
"2","Bowman",2015,3,0,0,1,5,0,6
"3","Bowman",2016,3,1,0,1,4,0,9
"4","Bowman",2017,3,3,0,1,4,0,6
"5","Cretsinger",2014,1,7,0,1,4,0,14
"6","Cretsinger",2015,3,4,1,0,6,0,13
"7","Cretsinger",2016,4,9,0,0,7,0,20
"8","Cretsinger",2017,3,8,3,0,6,0,26
"9","Elkader",2014,3,10,6,1,8,0,22
"10","Elkader",2015,5,8,4,1,7,0,29
"11","Greving",2014,3,7,4,0,8,0,21
"12","Kaldenberg",2014,1,5,0,0,6,0,18
"13","Kaldenberg",2015,4,4,0,1,6,0,13
"14","Kaldenberg",2016,3,4,2,0,8,0,13
"15","Kaldenberg",2017,3,3,2,0,7,0,15
"16","McClellan",2014,1,1,0,0,5,0,11
"17","McClellan",2015,4,2,0,0,6,0,10
"18","McClellan",2016,2,1,0,0,6,0,11
"19","McClellan",2017,1,3,0,1,7,0,14
"20","NealSmith",2014,1,7,5,1,8,1,23
"21","NealSmith",2015,4,6,1,0,7,0,15
"22","Peckumn",2015,2,4,2,1,5,0,12
"23","Peckumn",2016,3,7,2,1,6,0,23
"24","Peckumn",2017,3,8,2,1,8,0,24
"25","Plunkett",2014,2,1,1,1,5,0,13
"26","Plunkett",2015,4,1,1,1,4,0,12
"27","Plunkett",2016,5,4,2,1,8,0,27
"28","Plunkett",2017,3,5,1,1,6,1,19
"29","Sheller",2014,1,2,0,0,3,0,15
"30","Sheller",2015,5,0,2,0,4,0,9
"31","Sheller",2016,2,4,1,0,4,0,17
"32","Sheller",2017,1,1,0,0,4,0,9
"33","Sloan",2014,3,5,0,0,3,0,11
"34","Sloan",2015,2,3,2,0,4,0,11
"35","Sloan",2016,2,5,1,1,6,0,14
"36","Sloan",2017,1,4,0,0,7,0,19
