"","RRW","Bumble bee","Cavity nester","Cleptoparasite","Honey bee","Social ground-nester","Social parasite","Solitary ground-nester"
"1","Non-RRW",266,228,42,134,4305,2,2151
"2","RRW",82,261,23,29,2511,0,1013
