"","Year","Site","Guild","n"
"141",2017,"Bowman","Bumble bee",3
"142",2017,"Bowman","Cavity nester",3
"143",2017,"Bowman","Honey bee",2
"144",2017,"Bowman","Social ground-nester",246
"145",2017,"Bowman","Solitary ground-nester",44
"146",2017,"Cretsinger","Bumble bee",10
"147",2017,"Cretsinger","Cavity nester",53
"148",2017,"Cretsinger","Cleptoparasite",3
"149",2017,"Cretsinger","Social ground-nester",736
"150",2017,"Cretsinger","Solitary ground-nester",105
"151",2017,"Kaldenberg","Bumble bee",8
"152",2017,"Kaldenberg","Cavity nester",7
"153",2017,"Kaldenberg","Cleptoparasite",3
"154",2017,"Kaldenberg","Social ground-nester",302
"155",2017,"Kaldenberg","Solitary ground-nester",69
"156",2017,"McClellan","Bumble bee",1
"157",2017,"McClellan","Cavity nester",3
"158",2017,"McClellan","Honey bee",1
"159",2017,"McClellan","Social ground-nester",447
"160",2017,"McClellan","Solitary ground-nester",124
"161",2017,"Peckumn","Bumble bee",10
"162",2017,"Peckumn","Cavity nester",63
"163",2017,"Peckumn","Cleptoparasite",5
"164",2017,"Peckumn","Honey bee",5
"165",2017,"Peckumn","Social ground-nester",290
"166",2017,"Peckumn","Solitary ground-nester",121
"167",2017,"Plunkett","Bumble bee",18
"168",2017,"Plunkett","Cavity nester",12
"169",2017,"Plunkett","Cleptoparasite",1
"170",2017,"Plunkett","Honey bee",7
"171",2017,"Plunkett","Social ground-nester",426
"172",2017,"Plunkett","Social parasite",1
"173",2017,"Plunkett","Solitary ground-nester",91
"174",2017,"Sheller","Bumble bee",1
"175",2017,"Sheller","Cavity nester",1
"176",2017,"Sheller","Social ground-nester",117
"177",2017,"Sheller","Solitary ground-nester",31
"178",2017,"Sloan","Bumble bee",1
"179",2017,"Sloan","Cavity nester",14
"180",2017,"Sloan","Social ground-nester",158
"181",2017,"Sloan","Solitary ground-nester",88
